FECHA ;PIB REAL ANUAL ;INFLACION
31/12/1975;183808,95;17,77
31/12/1976;192586,43;25,76
31/12/1977;199681,96;28,71
31/12/1978;216761,09;18,42
31/12/1979;228651,24;28,8
31/12/1980;239233,96;25,85
31/12/1981;244009,08;26,36
31/12/1982;247164,59;24,03
31/12/1983;251460,93;16,64
31/12/1984;260616,96;18,28
31/12/1985;268700,09;22,45
31/12/1986;284408,05;20,95
31/12/1987;299727,27;24,02
31/12/1988;313764,87;28,12
31/12/1989;323597,23;26,12
31/12/1990;332996,08;32,36
31/12/1991;342151,83;26,82
31/12/1992;353696,23;25,13
31/12/1993;373821,98;22,6
31/12/1994;393444,63;22,59
31/12/1995;411887,96;19,46
31/12/1996;428394,88;21,63
31/12/1997;443405,49;17,68
31/12/1998;445056,83;16,7
31/12/1999;425021,96;9,2317
31/12/2000;429158,7;8,7482
31/12/2001;441906,77;7,6464
31/12/2002;450707,52;6,9928
31/12/2003;471264,17;6,4906
31/12/2004;491303,07;5,4975
31/12/2005;514853,46;4,8549
31/12/2006;549435,2;4,4779
31/12/2007;586456,89;5,6941
31/12/2008;605713,21;7,6748
31/12/2009;612616,16;2,001808
31/12/2010;640151,12;3,171222
31/12/2011;684628,48;3,725787
31/12/2012;711415,37;2,435345
31/12/2013;747938,94;1,937815
31/12/2014;781588,66;3,65768
31/12/2015;804692;6,769089
31/12/2016;821489;5,747408
31/12/2017;832656,08;4,088622
31/12/2018;853600,24;3,178001
31/12/2019;881429,21;3,8043
