Mes;Ventas
1/01/1973;55
1/02/1973;60
1/03/1973;68
1/04/1973;63
1/05/1973;65
1/06/1973;61
1/07/1973;54
1/08/1973;52
1/09/1973;46
1/10/1973;42
1/11/1973;37
1/12/1973;30
1/01/1974;37
1/02/1974;44
1/03/1974;55
1/04/1974;53
1/05/1974;58
1/06/1974;50
1/07/1974;48
1/08/1974;45
1/09/1974;41
1/10/1974;34
1/11/1974;30
1/12/1974;24
1/01/1975;29
1/02/1975;34
1/03/1975;44
1/04/1975;54
1/05/1975;57
1/06/1975;51
1/07/1975;51
1/08/1975;53
1/09/1975;46
1/10/1975;46
1/11/1975;46
1/12/1975;39
1/01/1976;41
1/02/1976;53
1/03/1976;55
1/04/1976;62
1/05/1976;55
1/06/1976;56
1/07/1976;57
1/08/1976;59
1/09/1976;58
1/10/1976;55
1/11/1976;49
1/12/1976;47
1/01/1977;57
1/02/1977;68
1/03/1977;84
1/04/1977;81
1/05/1977;78
1/06/1977;74
1/07/1977;64
1/08/1977;74
1/09/1977;71
1/10/1977;63
1/11/1977;55
1/12/1977;51
1/01/1978;57
1/02/1978;63
1/03/1978;75
1/04/1978;85
1/05/1978;80
1/06/1978;77
1/07/1978;68
1/08/1978;72
1/09/1978;68
1/10/1978;70
1/11/1978;53
1/12/1978;50
1/01/1979;53
1/02/1979;58
1/03/1979;73
1/04/1979;72
1/05/1979;68
1/06/1979;63
1/07/1979;64
1/08/1979;68
1/09/1979;60
1/10/1979;54
1/11/1979;41
1/12/1979;35
1/01/1980;43
1/02/1980;44
1/03/1980;44
1/04/1980;36
1/05/1980;44
1/06/1980;50
1/07/1980;55
1/08/1980;61
1/09/1980;50
1/10/1980;46
1/11/1980;39
1/12/1980;33
1/01/1981;37
1/02/1981;40
1/03/1981;49
1/04/1981;44
1/05/1981;45
1/06/1981;38
1/07/1981;36
1/08/1981;34
1/09/1981;28
1/10/1981;29
1/11/1981;27
1/12/1981;29
1/01/1982;28
1/02/1982;29
1/03/1982;36
1/04/1982;32
1/05/1982;36
1/06/1982;34
1/07/1982;31
1/08/1982;36
1/09/1982;39
1/10/1982;40
1/11/1982;39
1/12/1982;33
1/01/1983;44
1/02/1983;46
1/03/1983;57
1/04/1983;59
1/05/1983;64
1/06/1983;59
1/07/1983;51
1/08/1983;50
1/09/1983;48
1/10/1983;51
1/11/1983;45
1/12/1983;48
1/01/1984;52
1/02/1984;58
1/03/1984;63
1/04/1984;61
1/05/1984;59
1/06/1984;58
1/07/1984;52
1/08/1984;48
1/09/1984;53
1/10/1984;55
1/11/1984;42
1/12/1984;38
1/01/1985;48
1/02/1985;55
1/03/1985;67
1/04/1985;60
1/05/1985;65
1/06/1985;65
1/07/1985;63
1/08/1985;61
1/09/1985;54
1/10/1985;52
1/11/1985;51
1/12/1985;47
1/01/1986;55
1/02/1986;59
1/03/1986;89
1/04/1986;84
1/05/1986;75
1/06/1986;66
1/07/1986;57
1/08/1986;52
1/09/1986;60
1/10/1986;54
1/11/1986;48
1/12/1986;49
1/01/1987;53
1/02/1987;59
1/03/1987;73
1/04/1987;72
1/05/1987;62
1/06/1987;58
1/07/1987;55
1/08/1987;56
1/09/1987;52
1/10/1987;52
1/11/1987;43
1/12/1987;37
1/01/1988;43
1/02/1988;55
1/03/1988;68
1/04/1988;68
1/05/1988;64
1/06/1988;65
1/07/1988;57
1/08/1988;59
1/09/1988;54
1/10/1988;57
1/11/1988;43
1/12/1988;42
1/01/1989;52
1/02/1989;51
1/03/1989;58
1/04/1989;60
1/05/1989;61
1/06/1989;58
1/07/1989;62
1/08/1989;61
1/09/1989;49
1/10/1989;51
1/11/1989;47
1/12/1989;40
1/01/1990;45
1/02/1990;50
1/03/1990;58
1/04/1990;52
1/05/1990;50
1/06/1990;50
1/07/1990;46
1/08/1990;46
1/09/1990;38
1/10/1990;37
1/11/1990;34
1/12/1990;29
1/01/1991;30
1/02/1991;40
1/03/1991;46
1/04/1991;46
1/05/1991;47
1/06/1991;47
1/07/1991;43
1/08/1991;46
1/09/1991;37
1/10/1991;41
1/11/1991;39
1/12/1991;36
1/01/1992;48
1/02/1992;55
1/03/1992;56
1/04/1992;53
1/05/1992;52
1/06/1992;53
1/07/1992;52
1/08/1992;56
1/09/1992;51
1/10/1992;48
1/11/1992;42
1/12/1992;42
1/01/1993;44
1/02/1993;50
1/03/1993;60
1/04/1993;66
1/05/1993;58
1/06/1993;59
1/07/1993;55
1/08/1993;57
1/09/1993;57
1/10/1993;56
1/11/1993;53
1/12/1993;51
1/01/1994;45
1/02/1994;58
1/03/1994;74
1/04/1994;65
1/05/1994;65
1/06/1994;55
1/07/1994;52
1/08/1994;59
1/09/1994;54
1/10/1994;57
1/11/1994;45
1/12/1994;40
1/01/1995;47
1/02/1995;47
1/03/1995;60
1/04/1995;58
1/05/1995;63
1/06/1995;64
1/07/1995;64
1/08/1995;63
1/09/1995;55
1/10/1995;54
1/11/1995;44
